wavelength,species,ep,gf,HD17051,HD28635,Vesta
5414.072,26.1,3.221,-3.58,37.1,38.5,26.5
5425.257,26.1,3.2,-3.22,53.7,54.7,41.8
6084.09,26.1,3.2,-3.83,29.5,30.2,20.8
6149.24,26.1,3.89,-2.75,50.7,51.5,36.2
6247.55,26.1,3.89,-2.38,71.8,71.7,52.2
6369.462,26.1,2.891,-4.11,26.3,27.5,18.4
6416.92,26.1,3.89,-2.75,52,53.9,39.8
6432.676,26.1,2.891,-3.57,53.7,56.9,40.4
6456.383,26.1,3.9036,-2.05,82.9,82.6,63.5
5052.167,6,7.685,-1.304,50.2,53.5,
5380.3369,6,7.685,-1.615,33.3,35.2,
6587.6099,6,8.537,-1.021,24.4,26.6,
4218.723,106,0.413,-1.008,54.7,51.6,
7771.9438,8,9.146,0.352,112.5,118.6,
7774.1611,8,9.146,0.223,97.6,100,
7775.3901,8,9.146,0.002,78.6,83,
5682.64,11,2.1,-0.77,104.4,104.3,
5688.21,11,2.1,-0.48,118.5,117.4,
6154.2251,11,2.102,-1.547,34.1,32.3,
6160.7471,11,2.104,-1.246,49.8,48.2,
4730.04,12,4.34,-2.39,61,60.5,
5711.0879,12,4.345,-1.729,98,95.8,
5557.07,13,3.14,-2.21,10.2,10,
6696.0181,13,3.143,-1.481,31.1,30.8,
6698.667,13,3.143,-1.782,18,17.2,
5488.983,14,5.614,-1.69,20.7,19.8,
5517.54,14,5.08,-2.496,13.5,13.7,
5645.6128,14,4.93,-2.043,36.8,35.9,
5665.554,14,4.92,-1.94,41.8,41.2,
5690.4248,14,4.93,-1.773,50.3,50.3,
5701.105,14,4.93,-1.953,40.1,39.2,
5753.64,14,5.62,-1.333,55.9,54.6,
5772.145,14,5.082,-1.653,58.5,56.9,
5793.0732,14,4.93,-1.963,48.4,48.5,
5797.87,14,4.95,-1.912,44.1,44.4,
5948.54,14,5.08,-1.208,92.3,89.1,
6125.03,14,5.61,-1.51,37.4,36.5,
6142.49,14,5.62,-1.54,39.5,37.7,
6145.02,14,5.61,-1.48,43.9,42,
6155.14,14,5.62,-0.72,89.9,86,
6195.46,14,5.87,-1.666,21.1,19.7,
6237.33,14,5.61,-1.116,70.9,68.4,
6243.82,14,5.62,-1.31,53.4,51,
6244.48,14,5.61,-1.36,50.8,49.1,
6527.21,14,5.87,-1.227,49.1,46.9,
6721.84,14,5.863,-1.06,50.4,49.8,
6741.64,14,5.984,-1.653,19.1,19.6,
4694.1128,16,6.525,-1.673,16.1,17.9,
4695.4429,16,6.525,-1.829,10.8,11.2,
6052.656,16,7.87,-0.4,19.7,20.3,
6757.1709,16,7.87,-0.353,27.6,29.7,
5261.71,20,2.52,-0.677,97,96.2,
5349.47,20,2.71,-0.581,90.7,89.4,
5512.98,20,2.93,-0.559,87.4,85,
5581.97,20,2.52,-0.63,94.8,92.8,
5590.12,20,2.52,-0.65,90.5,89.2,
5867.562,20,2.933,-1.57,22.1,21.2,
6161.2969,20,2.523,-1.266,57.6,55.1,
6163.755,20,2.521,-1.286,60.6,59.6,
6166.439,20,2.521,-1.142,67.3,65.3,
6169.042,20,2.523,-0.797,89.6,86.8,
6169.55,20,2.52,-0.58,109.9,105.7,
6449.82,20,2.52,-0.733,97.6,94.5,
6455.5981,20,2.523,-1.34,53.4,51.3,
6471.6621,20,2.526,-0.686,92.8,90.1,
6499.6499,20,2.523,-0.818,86,84.1,
6572.8,20,0,-4.28,20.3,19.2,
4743.8208,21,1.448,0.422,5.2,4.9,
5520.5,21,1.87,0.562,5.1,4.9,
5671.8281,21,1.448,0.495,11.2,10.7,
5686.856,21,1.439,0.376,7.2,7,
5526.82,21.1,1.77,0.14,84.4,84.2,
5657.88,21.1,1.51,-0.326,75.1,75.8,
5667.14,21.1,1.5,-1.025,38.8,38.2,
5669.055,21.1,1.5,-1.2,43.9,43.9,
6245.6411,21.1,1.507,-1.036,37.2,36.8,
6320.843,21.1,1.5,-1.923,7.9,8.4,
